severity,type,slug,entryId,titleZh,cueId,time,en,zh,details
medium,semantic_neighbor_drift,additional-considerations,1_jxyrdq28,其他考量,14,00:01:15.280 --> 00:01:22.480,only supported file system data sharing for zos. ZOS provides support for simultaneous read-write,z/OS 支援在多個 Unix system services 實例間同時讀寫,"ZH contains USS, but EN cue 15 contains that term"
medium,semantic_neighbor_drift,additional-considerations,1_jxyrdq28,其他考量,15,00:01:22.480 --> 00:01:28.560,access to the same ZFS or HFS file system across instances of Unix system services running,存取相同 ZFS 或 HFS 檔案系統，這些實例運行於多個 z/OS 映像中,"ZH contains z/OS, but EN cue 16 contains that term"
medium,semantic_neighbor_drift,additional-considerations,1_jxyrdq28,其他考量,17,00:01:35.360 --> 00:01:40.560,Across system coupling facility or XCF services are used during the processing of shared,跨系統耦合設施或 XCF 服務用於 Sysplex 中共享,"ZH contains Sysplex, but EN cue 18 contains that term"
medium,semantic_neighbor_drift,additional-considerations,1_jxyrdq28,其他考量,26,00:02:21.680 --> 00:02:26.480,"mounted on every system when the PFS is capable of handling a local mount on every system,","當 PFS 能在每個系統本地掛載時，也就是 PFS 正在以 Sysplex
aware 運作，","ZH contains Sysplex, but EN cue 27 contains that term"
medium,long_zh_cue,additional-considerations,1_jxyrdq28,其他考量,44,00:04:11.280 --> 00:04:19.680,"In this case, the Sysplex aware file system FS2 is ZFS owned by SY2 and is being directly","在此案例中，Sysplex 感知的檔案系統 FS2 是由 SY2 擁有的 ZFS，
正被 SY1 和 SY3 直接訪問。",ZH length 49; 5.8 chars/sec
medium,long_zh_cue,additional-considerations,1_jxyrdq28,其他考量,47,00:04:34.880 --> 00:04:42.400,This ZFS HFS data set must be mounted read-write. Only one Sysplex route is allowed for all systems,"此 ZFS HFS 資料集必須以讀寫方式掛載。所有參與共享 HFS
的系統只允許有一個 Sysplex 路由。",ZH length 48; 6.4 chars/sec
medium,long_zh_cue,additional-considerations,1_jxyrdq28,其他考量,48,00:04:42.400 --> 00:04:49.280,participating in shared HFS. Directories in the system specified HFS data set are used as mount,"系統指定 HFS 資料集中的目錄被用作掛載點，特別是 /etc、/var、
/temp 和 /dev。",ZH length 45; 6.5 chars/sec
medium,long_zh_cue,application-programming-in-zos-unix,1_8ihdkrd8,z/OS UNIX 應用程式設計,41,00:03:22.960 --> 00:03:29.760,"either UTF-8 or UTF-16, to any of the EBSIDIC CCSIDs currently supported by your applications.","無論是 UTF-8 還是 UTF-16，轉換成您應用程式所支援的任何 EBCDIC
CCSID。",ZH length 43; 6.3 chars/sec
medium,semantic_neighbor_drift,application-programming-in-zos-unix,1_8ihdkrd8,z/OS UNIX 應用程式設計,66,00:05:37.200 --> 00:05:42.400,An assembler interface is also provided for those applications that do not use the C or C++,z/OS Unix 支援兩種 socket 類別。Unix 域 socket，,"ZH contains z/OS, but EN cue 67 contains that term"
medium,starts_with_punctuation,application-programming-in-zos-unix,1_8ihdkrd8,z/OS UNIX 應用程式設計,70,00:06:02.400 --> 00:06:08.480,protocol sockets are part of the internet address family AF underscore INET for IPv4 and AF underscore,（內容截斷，無法提供後續翻譯）,Chinese cue starts with punctuation
medium,long_zh_cue,ascii-and-ebcdic-considerations,1_xhceuc8r,ASCII 與 EBCDIC 考量,27,00:02:46.980 --> 00:02:53.460,"ASCII and LF commands to edit ASCII data stored in ZOS datasets. For Unix files, you have","ASCII 和 LF 指令用於編輯儲存在 z/OS 資料集中的 ASCII 資料。
對於 Unix 檔案，你有",ZH length 45; 6.9 chars/sec
medium,long_zh_cue,backup-and-recovery,1_iov0qts1,備份與復原,15,00:02:15.660 --> 00:02:34.380,"Now, we'll run through this fairly briefly, but the point here is in ZOS v2 release 4, storage admins are able to manage the backup and recovery of Unix files within ZFS file systems with DFS-MS-DSS and DFS-MS-HSM utilities which are normally used for standard ZOS data sets.","這裡簡要介紹，在 ZOS v2 發行版 4 中，儲存管理員能使用 DFSMS
DSS 和 DFSMS HSM 工具管理 ZFS 檔案系統中 Unix
檔案的備份與還原。",ZH length 69; 3.7 chars/sec
medium,long_zh_cue,bpxbatch,1_3ggir589,BPXBATCH,1,00:00:03.760 --> 00:00:13.760,BPX batch is provided to make it easier to run shell scripts in ZOS UNIX application programs that reside in HFS through the ZOS batch environment.,"BPX batch 提供了方便在 ZOS UNIX 應用程式中透過 ZOS
批次環境執行 shell 腳本的方法，這些應用程式位於 HFS 中。",ZH length 61; 6.1 chars/sec
medium,long_zh_cue,bpxbatch,1_3ggir589,BPXBATCH,3,00:00:19.760 --> 00:00:27.760,"BPX batch can be invoked by JCL as a batch job, as a command in TSOE, from within a rex exec or with oshell.","BPX batch 可由 JCL 以批次作業呼叫，或在 TSOE 中當成命令，或在
rex exec 內部使用，亦可透過 oshell 執行。",ZH length 60; 7.5 chars/sec
